City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
202,Krasnaya Gorbatka,RU,2022-04-01 17:39:46,55.8703,41.7641,31.6,96,100,12.8
203,Taoudenni,ML,2022-04-01 17:39:47,22.6783,-3.9836,88.99,5,99,3.13
204,Lago Da Pedra,BR,2022-04-01 17:39:48,-4.3333,-45.1667,80.51,85,83,3.71
205,Praia,CV,2022-04-01 17:39:49,14.9215,-23.5087,81.14,57,0,6.91
206,Half Moon Bay,US,2022-04-01 17:37:55,37.4636,-122.4286,66.11,73,0,3.44
207,Port-Gentil,GA,2022-04-01 17:39:52,-0.7193,8.7815,79.99,85,81,14.67
208,Martinsville,US,2022-04-01 17:39:37,36.6915,-79.8725,59.68,41,40,12.66
209,Gemena,CD,2022-04-01 17:39:53,3.25,19.7667,81.86,51,98,4.54
210,Zig,US,2022-04-01 17:39:54,40.127,-92.7663,45.37,59,0,4.61
211,Humboldt,US,2022-04-01 17:39:55,40.6665,-123.9178,45.18,43,62,6.6
212,Camacha,PT,2022-04-01 17:39:57,33.0833,-16.3333,60.22,82,40,8.05
213,Sarankhola,BD,2022-04-01 17:39:58,22.3082,89.7897,78.76,86,6,11.74
214,Iqaluit,CA,2022-04-01 17:39:59,63.7506,-68.5145,24.53,92,100,2.3
215,Ubinskoye,RU,2022-04-01 17:40:01,55.3068,79.6802,29.39,91,97,15.43
216,Taksimo,RU,2022-04-01 17:40:02,56.3444,114.8794,16.75,90,100,1.43
217,Svetlogorsk,BY,2022-04-01 17:40:04,52.6333,29.7333,33.91,97,100,14.47
218,Pauri,IN,2022-04-01 17:40:05,30.15,78.7833,62.55,20,0,5.08
219,Uvat,RU,2022-04-01 17:36:16,59.1433,68.8953,25.3,97,100,4.16
220,Karatsu,JP,2022-04-01 17:40:07,33.4425,129.9697,46.9,37,98,3.0
221,Tambura,SS,2022-04-01 17:40:08,5.6,27.4667,81.34,44,75,3.8
222,Airai,TL,2022-04-01 17:40:10,-8.9266,125.4092,57.09,84,47,1.83
223,Middelburg,ZA,2022-04-01 17:40:11,-25.7751,29.4648,66.13,40,33,4.43
224,Kisesa,TZ,2022-04-01 17:40:12,-3.0833,34.15,67.05,82,96,5.77
225,Zhigalovo,RU,2022-04-01 17:40:13,54.8097,105.1578,23.97,96,96,3.65
226,Feira De Santana,BR,2022-04-01 17:37:00,-12.2667,-38.9667,87.4,46,60,11.7
227,Trelew,AR,2022-04-01 17:41:19,-43.249,-65.3051,80.46,10,57,19.35
228,Fare,PF,2022-04-01 17:41:20,-16.7,-151.0167,81.72,71,77,4.79
229,Yerofey Pavlovich,RU,2022-04-01 17:41:22,53.9667,121.9667,14.81,96,56,3.15
230,Buritama,BR,2022-04-01 17:41:24,-21.0661,-50.1472,80.15,62,60,7.9
231,Nyrob,RU,2022-04-01 17:41:25,60.733,56.7202,6.55,97,71,0.65
232,Rock Sound,BS,2022-04-01 17:41:26,24.9,-76.2,77.09,84,2,12.93
233,The Pas,CA,2022-04-01 17:41:28,53.8251,-101.2541,30.22,93,100,9.22
234,Havre-Saint-Pierre,CA,2022-04-01 17:41:30,50.2334,-63.5986,32.36,100,100,19.57
235,Katsuura,JP,2022-04-01 17:41:30,35.1333,140.3,44.53,61,99,10.38
236,Natal,BR,2022-04-01 17:41:31,-5.795,-35.2094,88.45,66,20,16.11
237,Yar-Sale,RU,2022-04-01 17:41:33,66.8333,70.8333,9.5,93,70,10.16
